Source,Target,Type,Weight
5,1,undirected,1.0
6,1,undirected,1.0
7,1,undirected,1.0
8,1,undirected,10.0
9,1,undirected,1.0
10,1,undirected,3.0
11,1,undirected,1.0
12,1,undirected,1.0
13,1,undirected,1.0
14,1,undirected,1.0
15,1,undirected,1.0
16,1,undirected,1.0
17,1,undirected,1.0
18,1,undirected,1.0
19,1,undirected,1.0
19,3,undirected,1.0
19,4,undirected,1.0
20,1,undirected,1.0
21,1,undirected,1.0
22,1,undirected,1.0
23,1,undirected,1.0
24,1,undirected,1.0
25,1,undirected,1.0
26,1,undirected,2.0
27,1,undirected,1.0
28,1,undirected,1.0
52,1,undirected,1.0
29,2,undirected,2.0
30,2,undirected,1.0
31,2,undirected,10.0
32,2,undirected,1.0
33,2,undirected,1.0
34,2,undirected,1.0
35,2,undirected,1.0
36,2,undirected,2.0
37,2,undirected,2.0
38,2,undirected,3.0
39,2,undirected,1.0
40,2,undirected,1.0
41,2,undirected,1.0
42,2,undirected,2.0
43,2,undirected,1.0
44,2,undirected,1.0
45,2,undirected,1.0
46,2,undirected,2.0
47,2,undirected,1.0
48,2,undirected,2.0
49,2,undirected,1.0
50,2,undirected,1.0
51,2,undirected,1.0
53,3,undirected,3.0
54,3,undirected,3.0
55,3,undirected,1.0
56,3,undirected,1.0
57,3,undirected,1.0
58,3,undirected,1.0
59,3,undirected,1.0
60,3,undirected,1.0
61,4,undirected,2.0
62,4,undirected,3.0
63,4,undirected,1.0
64,4,undirected,2.0
65,4,undirected,1.0
66,4,undirected,2.0
67,4,undirected,1.0
68,54,undirected,2.0
55,54,undirected,1.0
69,54,undirected,2.0
56,54,undirected,1.0
19,54,undirected,4.0
70,54,undirected,2.0
53,54,undirected,1.0
71,54,undirected,1.0
72,8,undirected,1.0
73,8,undirected,4.0
74,8,undirected,1.0
75,8,undirected,1.0
10,8,undirected,1.0
76,8,undirected,1.0
77,8,undirected,2.0
78,8,undirected,3.0
79,8,undirected,1.0
80,8,undirected,1.0
81,8,undirected,3.0
82,8,undirected,1.0
83,8,undirected,1.0
84,8,undirected,1.0
85,8,undirected,1.0
86,8,undirected,1.0
87,46,undirected,1.0
88,46,undirected,1.0
89,46,undirected,1.0
90,46,undirected,1.0
91,46,undirected,6.0
92,46,undirected,1.0
93,46,undirected,1.0
51,46,undirected,2.0
94,46,undirected,1.0
95,46,undirected,1.0
96,46,undirected,1.0
97,46,undirected,1.0
98,46,undirected,1.0
99,46,undirected,2.0
100,46,undirected,1.0
101,46,undirected,2.0
102,46,undirected,1.0
103,46,undirected,2.0
104,46,undirected,3.0
105,46,undirected,1.0
106,46,undirected,1.0
107,46,undirected,4.0
108,46,undirected,3.0
109,46,undirected,1.0
110,46,undirected,1.0
111,46,undirected,3.0
112,46,undirected,1.0
113,46,undirected,1.0
114,46,undirected,2.0
115,46,undirected,1.0
116,46,undirected,2.0
117,46,undirected,1.0
43,31,undirected,2.0
118,31,undirected,1.0
119,31,undirected,6.0
38,31,undirected,10.0
120,31,undirected,2.0
121,31,undirected,1.0
121,2,undirected,1.0
97,2,undirected,1.0
97,31,undirected,1.0
120,2,undirected,1.0
108,31,undirected,1.0
108,2,undirected,1.0
122,31,undirected,1.0
123,31,undirected,1.0
124,31,undirected,1.0
125,31,undirected,1.0
126,27,undirected,1.0
127,27,undirected,1.0
128,27,undirected,1.0
129,27,undirected,1.0
130,27,undirected,2.0
131,27,undirected,1.0
132,27,undirected,1.0
133,27,undirected,1.0
134,27,undirected,1.0
135,27,undirected,1.0
136,27,undirected,1.0
137,27,undirected,1.0
138,27,undirected,1.0
139,27,undirected,1.0
140,27,undirected,1.0
141,27,undirected,1.0
142,27,undirected,1.0
143,27,undirected,1.0
144,38,undirected,2.0
120,38,undirected,1.0
145,38,undirected,1.0
146,38,undirected,1.0
30,38,undirected,1.0
147,38,undirected,2.0
148,38,undirected,1.0
37,38,undirected,1.0
149,38,undirected,1.0
43,38,undirected,1.0
150,38,undirected,1.0
151,38,undirected,1.0
152,1,undirected,10
153,1,undirected,10
154,1,undirected,10
155,1,undirected,10
156,52,undirected,1.0
157,52,undirected,1.0
158,52,undirected,1.0
77,52,undirected,1.0
152,52,undirected,1.0
159,52,undirected,1.0
160,52,undirected,1.0
161,52,undirected,1.0
162,52,undirected,1.0
163,62,undirected,3.0
152,62,undirected,1.0
155,62,undirected,1.0
26,62,undirected,1.0
164,62,undirected,1.0
165,62,undirected,1.0
19,62,undirected,1.0
166,62,undirected,1.0
24,62,undirected,1.0
167,62,undirected,1.0
168,62,undirected,1.0
169,62,undirected,1.0
